1, alaskan_malamute
2, beagle
3, bichon_frise
4, french_bulldog
5, golden_retriever
6, japanese_spitz
7, labrador_retriever
8, maltese
9, pomeranian
10, poodle
11, shihtzu
12, siberian_husky
13, welsh_corgi
